State,District,Water_Source,pH,Dissolved_Oxygen,BOD,COD,TDS,Conductivity,Turbidity,Nitrate,Phosphate,Temperature,Hardness,Chloride,Sulfate,WQI,Quality
Kerala,Kozhikode,Groundwater,7.42,6.79,4.07,43.21,204,538,2.59,31.95,2.34,29.1,92,113,202,47,Poor
Gujarat,Vadodara,Groundwater,8.42,8.27,3.55,34.4,421,353,6.48,22.02,0.7,34.4,315,146,30,36,Unsafe
Delhi,New Delhi,Lake,8.19,7.76,4.73,19.9,272,594,5.25,6.48,1.94,30.8,274,48,191,49,Poor
Andhra Pradesh,Visakhapatnam,Lake,7.32,6.45,3.72,17.12,276,830,4.24,5.63,2.24,22.8,155,88,213,54,Poor
Andhra Pradesh,Guntur,Reservoir,7.99,4.6,7.99,27.15,489,568,7.34,13.02,2.15,27.1,208,152,80,12,Unsafe
Gujarat,Vadodara,Groundwater,8.37,8.06,4.36,29.12,458,849,1.07,27.94,1.01,21.1,266,151,192,40,Poor
Andhra Pradesh,Guntur,Lake,7.61,5.13,2.95,28.2,547,642,4.69,7.04,0.74,32.2,74,129,102,34,Unsafe
Tamil Nadu,Madurai,Lake,7.26,6.91,7.13,24.1,402,729,8.18,37.79,0.78,18.4,307,48,37,20,Unsafe
Gujarat,Surat,Lake,8.15,6.97,6.21,20.42,314,741,6.76,23.98,2.18,24.4,313,35,81,29,Unsafe
Telangana,Nizamabad,Lake,7.97,5.2,1.9,35.04,184,734,9.33,11.92,1.9,31.4,179,123,175,36,Unsafe
Kerala,Kochi,Groundwater,8.23,8.55,5.29,38.61,645,590,5.34,1.59,2.36,23.8,71,60,76,39,Unsafe
Andhra Pradesh,Guntur,Lake,6.44,6.44,6.6,44.94,619,778,5.41,35.42,2.34,21.8,174,99,28,12,Unsafe
Andhra Pradesh,Guntur,River,7.8,5.92,7.38,10.76,354,279,6.25,17.0,0.25,25.3,304,75,160,27,Unsafe
Andhra Pradesh,Visakhapatnam,Lake,6.8,8.81,5.62,32.48,645,889,2.42,12.95,0.94,34.7,223,36,217,44,Poor
Andhra Pradesh,Guntur,Lake,6.75,4.86,2.33,12.51,200,785,9.3,28.1,1.47,34.1,246,142,27,27,Unsafe
Tamil Nadu,Coimbatore,Reservoir,8.58,9.1,1.14,18.79,177,832,7.26,26.91,2.37,22.3,195,20,217,49,Poor
Maharashtra,Mumbai,Reservoir,6.89,5.82,7.63,24.03,315,792,9.38,29.26,1.96,27.8,100,160,171,17,Unsafe
Maharashtra,Nagpur,Lake,7.31,7.61,1.57,16.76,316,848,5.37,23.28,1.08,21.5,117,116,61,51,Poor
Andhra Pradesh,Vijayawada,River,8.21,9.07,1.35,21.61,254,691,7.52,38.79,1.87,28.9,166,43,167,42,Poor
Tamil Nadu,Chennai,Reservoir,8.15,9.31,1.32,30.48,277,467,5.54,32.39,0.82,20.7,188,177,128,50,Poor
Karnataka,Mysuru,River,8.44,6.09,5.29,17.13,596,445,3.91,21.71,0.95,25.0,214,49,133,19,Unsafe
Karnataka,Mysuru,Reservoir,7.41,6.03,1.67,22.56,492,775,5.92,5.52,0.53,20.2,311,40,206,43,Poor
Tamil Nadu,Chennai,River,6.6,8.42,2.9,17.99,267,286,8.48,20.36,2.1,20.3,157,122,118,46,Poor
Kerala,Thiruvananthapuram,Groundwater,7.62,8.79,1.16,10.1,495,343,1.67,21.21,1.11,21.1,214,162,150,57,Poor
Delhi,New Delhi,Reservoir,7.28,6.19,5.6,41.65,291,387,3.87,19.36,1.37,20.9,285,71,203,42,Poor
Kerala,Kochi,Reservoir,8.12,8.25,4.88,26.11,259,863,9.26,20.05,0.29,25.5,102,23,93,37,Unsafe
Karnataka,Mangaluru,Reservoir,7.82,5.18,6.63,23.25,336,485,8.73,7.32,2.46,18.6,318,139,112,25,Unsafe
Kerala,Kochi,Reservoir,7.52,7.74,1.1,15.46,272,542,2.96,2.58,0.49,34.4,209,29,47,68,Moderate
Andhra Pradesh,Guntur,Groundwater,7.41,8.28,7.13,12.89,227,230,1.39,4.32,1.6,22.5,87,122,43,63,Moderate
Telangana,Warangal,Groundwater,6.55,4.83,5.57,21.41,249,688,2.95,39.69,0.73,18.3,325,149,102,24,Unsafe
Telangana,Warangal,Groundwater,7.86,6.94,3.48,11.23,234,407,4.2,8.99,1.24,26.4,131,126,142,52,Poor
Karnataka,Mysuru,Reservoir,8.59,5.88,7.98,27.86,564,681,5.16,15.19,0.6,19.1,327,65,36,14,Unsafe
Andhra Pradesh,Visakhapatnam,Lake,7.11,8.39,2.81,24.34,456,607,1.7,2.9,2.11,26.2,233,26,36,65,Moderate
Uttar Pradesh,Varanasi,River,6.39,9.19,7.68,29.56,393,659,8.54,17.72,0.87,22.6,188,127,20,34,Unsafe
Kerala,Kozhikode,River,7.95,5.02,7.38,18.48,697,270,9.29,28.71,0.29,22.2,295,173,217,0,Unsafe
Karnataka,Bengaluru,Groundwater,8.21,8.17,3.62,37.91,170,692,0.89,26.26,1.6,25.2,270,162,120,56,Poor
Tamil Nadu,Chennai,Lake,7.2,8.97,5.07,23.25,305,292,3.97,28.44,2.47,26.6,63,24,154,52,Poor
Gujarat,Vadodara,River,7.83,7.74,5.83,20.04,381,258,3.92,17.19,0.68,24.9,119,30,27,42,Poor
Delhi,New Delhi,Groundwater,6.81,5.52,2.35,14.78,480,803,9.17,7.56,1.47,18.3,72,62,153,30,Unsafe
Uttar Pradesh,Kanpur,Groundwater,8.38,7.68,4.63,43.5,162,552,3.95,5.36,1.98,24.1,207,123,46,55,Poor
Karnataka,Mysuru,River,6.92,6.02,7.96,25.65,252,779,3.11,24.02,1.7,23.0,137,148,156,36,Unsafe
Delhi,New Delhi,Reservoir,7.55,5.86,2.29,11.24,356,335,1.85,17.23,0.49,28.8,138,72,71,47,Poor
Karnataka,Mysuru,Lake,6.84,7.55,7.06,43.54,521,384,8.05,4.68,0.33,22.8,214,147,37,33,Unsafe
Delhi,New Delhi,Lake,8.02,8.35,1.82,30.88,661,703,9.47,17.64,0.51,20.8,101,180,66,29,Unsafe
Uttar Pradesh,Kanpur,Reservoir,8.29,5.2,5.46,12.56,179,568,0.53,3.86,0.17,28.2,275,28,197,48,Poor
Karnataka,Bengaluru,Groundwater,6.48,6.17,4.18,22.17,575,240,2.04,36.26,1.08,18.5,206,170,27,24,Unsafe
Maharashtra,Nagpur,Groundwater,6.97,9.33,3.43,35.89,220,381,8.25,37.42,1.56,28.8,109,57,208,46,Poor
Karnataka,Mangaluru,Lake,6.33,6.3,3.93,30.0,456,429,1.75,35.43,1.83,26.3,116,123,106,29,Unsafe
Andhra Pradesh,Guntur,Lake,7.61,5.62,7.26,33.15,468,501,2.07,14.98,0.15,31.7,155,117,212,32,Unsafe
Telangana,Nizamabad,Groundwater,8.46,8.28,4.9,19.34,120,342,6.59,29.05,0.92,23.7,167,164,29,41,Poor
West Bengal,Siliguri,Lake,8.28,9.07,5.11,40.09,322,393,3.81,26.9,0.11,25.3,130,75,154,45,Poor
Uttar Pradesh,Varanasi,Groundwater,7.57,6.45,5.74,42.17,206,477,8.78,23.29,1.46,27.2,131,67,92,32,Unsafe
Andhra Pradesh,Visakhapatnam,Groundwater,8.19,8.02,4.01,16.21,194,674,5.56,24.48,0.36,27.9,278,100,63,45,Poor
Uttar Pradesh,Lucknow,Reservoir,7.3,8.54,5.28,42.29,253,480,1.7,2.63,0.83,33.1,136,154,75,69,Moderate
Tamil Nadu,Chennai,Lake,7.61,7.87,7.8,38.25,183,831,4.42,21.18,2.03,18.9,210,143,90,46,Poor
West Bengal,Siliguri,River,8.09,5.09,3.6,29.22,97,619,1.32,21.64,1.21,29.6,248,179,79,46,Poor
Maharashtra,Nagpur,Reservoir,7.66,7.04,6.76,38.12,192,667,2.23,33.24,2.06,29.9,141,112,40,41,Poor
Kerala,Kozhikode,Reservoir,8.17,4.67,6.02,24.43,194,667,4.37,23.93,1.62,27.7,299,76,164,27,Unsafe
West Bengal,Siliguri,Reservoir,7.39,6.83,7.85,20.53,293,228,2.65,6.91,1.79,33.7,243,72,46,48,Poor
Tamil Nadu,Chennai,River,7.91,8.76,5.39,32.91,627,243,3.07,19.0,0.4,21.3,328,162,94,39,Unsafe
Andhra Pradesh,Visakhapatnam,Reservoir,6.9,5.44,6.62,38.12,276,257,3.9,4.72,2.42,34.7,346,115,72,42,Poor
Uttar Pradesh,Kanpur,Lake,6.49,5.0,6.03,12.2,439,596,3.19,11.24,0.31,21.7,189,94,167,30,Unsafe
Kerala,Kozhikode,Reservoir,6.52,5.81,2.14,16.35,429,463,7.37,3.43,1.37,25.5,338,38,72,38,Unsafe
Uttar Pradesh,Varanasi,River,7.29,5.55,7.71,39.93,377,842,3.29,22.99,1.03,18.7,75,27,206,30,Unsafe
Telangana,Warangal,Groundwater,7.15,6.16,1.74,29.03,391,838,1.14,27.09,2.5,19.9,65,176,59,47,Poor
Andhra Pradesh,Vijayawada,Reservoir,7.69,6.72,1.83,24.61,389,629,1.81,29.07,0.73,21.5,175,42,175,44,Poor
West Bengal,Siliguri,Lake,7.2,7.26,2.0,16.24,236,827,9.67,15.8,2.43,34.1,331,167,70,48,Poor
Andhra Pradesh,Guntur,Lake,8.15,4.53,4.35,14.7,189,214,8.28,3.78,0.76,22.9,138,179,110,32,Unsafe
Gujarat,Vadodara,Groundwater,7.86,9.48,2.05,44.63,642,637,8.42,32.93,0.41,26.0,298,25,195,31,Unsafe
Delhi,New Delhi,Reservoir,8.58,8.77,3.97,31.65,558,619,6.75,23.76,0.4,20.6,340,21,124,29,Unsafe
Andhra Pradesh,Vijayawada,Reservoir,6.82,8.47,4.37,26.82,686,451,8.53,7.74,2.2,22.3,85,93,97,34,Unsafe
West Bengal,Siliguri,Reservoir,7.73,7.66,1.52,36.21,163,819,8.26,33.56,1.11,23.6,85,118,102,43,Poor
Maharashtra,Nagpur,River,8.0,5.25,6.38,42.13,240,534,7.21,36.52,2.37,27.5,169,83,40,17,Unsafe
Andhra Pradesh,Vijayawada,Lake,8.19,7.96,5.54,18.58,93,729,3.17,4.52,0.39,31.2,194,94,210,60,Moderate
Andhra Pradesh,Visakhapatnam,Groundwater,6.33,8.8,6.74,21.62,605,270,7.95,24.05,2.43,22.5,225,26,195,23,Unsafe
Andhra Pradesh,Vijayawada,Reservoir,6.97,5.75,4.01,37.34,547,851,8.1,22.34,2.17,27.4,217,55,131,22,Unsafe
Andhra Pradesh,Guntur,River,8.55,4.86,5.14,21.8,498,344,4.95,32.85,1.13,29.4,191,99,112,9,Unsafe
Maharashtra,Mumbai,River,6.48,6.05,3.69,13.93,512,697,5.95,29.09,2.02,30.3,274,66,154,22,Unsafe
Tamil Nadu,Chennai,Lake,7.08,6.83,4.59,26.26,588,751,9.44,35.23,1.59,34.7,214,100,42,16,Unsafe
Kerala,Kozhikode,Groundwater,7.99,5.0,3.8,23.81,295,733,1.95,10.35,1.17,29.5,348,48,111,42,Poor
Delhi,New Delhi,Reservoir,7.37,8.78,5.39,41.05,462,346,7.69,34.76,0.74,23.0,201,77,58,33,Unsafe
Tamil Nadu,Chennai,River,7.88,7.88,2.01,19.56,359,864,9.84,15.09,2.42,20.8,184,56,122,40,Poor
Tamil Nadu,Coimbatore,River,6.44,5.11,5.54,20.33,510,601,6.07,16.02,1.33,30.1,118,110,92,20,Unsafe
Andhra Pradesh,Guntur,Groundwater,6.9,5.56,3.57,27.98,696,722,8.31,10.93,0.11,31.9,221,100,80,20,Unsafe
Kerala,Kochi,Groundwater,6.96,7.57,1.24,40.74,87,647,7.01,21.23,2.28,34.5,258,49,65,57,Poor
Maharashtra,Mumbai,Reservoir,8.43,7.09,1.35,12.36,599,221,5.51,39.93,1.31,21.2,155,172,132,20,Unsafe
Tamil Nadu,Chennai,Groundwater,6.46,8.89,1.6,27.61,151,754,2.65,13.39,0.7,24.8,191,98,97,69,Moderate
Karnataka,Bengaluru,Groundwater,6.6,7.76,4.36,17.87,233,522,8.07,30.95,0.51,34.4,148,56,40,36,Unsafe
Uttar Pradesh,Lucknow,Reservoir,7.36,8.47,7.05,41.51,107,450,6.88,23.36,0.23,29.0,181,79,47,49,Poor
Uttar Pradesh,Lucknow,River,7.55,5.72,7.09,37.05,206,620,2.36,37.07,0.97,27.1,182,82,38,32,Unsafe
Uttar Pradesh,Kanpur,Reservoir,7.18,5.37,4.74,16.37,647,351,0.66,25.39,0.34,31.4,67,36,140,29,Unsafe
Uttar Pradesh,Kanpur,River,8.26,6.12,1.48,27.26,239,433,9.36,21.11,0.99,28.3,62,142,87,32,Unsafe
Karnataka,Mangaluru,River,6.72,8.32,6.53,25.8,225,787,8.07,19.96,0.38,18.6,95,143,27,42,Poor
Tamil Nadu,Madurai,River,8.28,7.32,4.26,40.6,196,779,0.91,7.37,1.2,23.1,291,131,88,58,Poor
Delhi,New Delhi,River,7.24,6.32,6.15,17.33,269,630,1.51,16.69,1.36,22.3,219,65,25,49,Poor
West Bengal,Kolkata,Lake,6.61,6.25,5.65,20.38,603,711,4.93,18.62,1.36,21.1,88,118,137,24,Unsafe
Telangana,Nizamabad,River,7.84,6.13,3.97,32.81,669,226,9.84,37.72,1.94,18.1,256,95,29,4,Unsafe
Karnataka,Bengaluru,Groundwater,7.7,5.52,1.98,33.24,90,795,4.28,6.71,2.48,27.5,105,137,192,56,Poor
Karnataka,Bengaluru,River,8.27,8.06,4.91,36.33,615,233,0.78,31.28,1.89,32.9,115,177,30,32,Unsafe
Delhi,New Delhi,Groundwater,8.4,8.81,3.25,18.78,145,887,9.33,5.98,2.15,34.5,310,157,96,53,Poor
Tamil Nadu,Madurai,River,8.52,9.31,2.71,22.93,404,637,4.3,2.67,1.08,35.0,350,65,116,56,Poor
Gujarat,Surat,Groundwater,6.86,8.15,6.92,23.61,239,250,5.15,16.99,0.78,23.6,320,85,143,48,Poor
Delhi,New Delhi,Reservoir,7.7,6.09,7.82,43.16,541,335,4.63,31.5,1.26,19.8,136,121,106,16,Unsafe
Telangana,Warangal,Reservoir,7.93,5.13,1.14,40.55,694,702,9.11,11.07,0.83,32.6,297,127,113,18,Unsafe
Maharashtra,Pune,River,7.99,8.67,3.28,28.7,401,502,0.75,34.42,1.42,32.1,118,88,24,48,Poor
Karnataka,Mysuru,Reservoir,7.03,7.97,6.36,28.22,181,777,8.83,10.26,0.25,22.2,303,175,167,48,Poor
Delhi,New Delhi,River,6.86,9.43,5.87,36.68,523,412,1.82,20.64,0.95,26.2,323,23,198,50,Poor
Andhra Pradesh,Visakhapatnam,River,6.63,7.43,4.8,43.57,672,320,0.58,21.42,1.42,27.6,266,57,196,36,Unsafe
Andhra Pradesh,Guntur,Groundwater,8.37,4.87,6.12,24.03,321,587,8.17,22.35,1.05,30.9,245,173,128,14,Unsafe
West Bengal,Siliguri,Groundwater,7.52,5.14,5.55,44.85,196,620,4.91,1.34,2.27,19.0,240,120,168,46,Poor
Gujarat,Surat,River,7.45,7.88,2.96,16.03,660,295,6.56,38.43,2.21,31.7,338,137,119,25,Unsafe
Andhra Pradesh,Visakhapatnam,River,7.27,8.35,2.69,15.17,635,532,4.87,20.55,1.6,22.0,193,178,181,42,Poor
Andhra Pradesh,Visakhapatnam,Reservoir,8.47,7.22,2.25,15.35,369,615,4.57,18.06,0.49,24.5,319,166,203,41,Poor
Maharashtra,Pune,River,7.65,4.73,3.28,17.49,410,557,9.21,24.66,0.5,22.6,118,59,132,18,Unsafe
Gujarat,Surat,Reservoir,7.86,7.94,4.64,32.24,407,507,8.69,8.51,0.39,34.9,74,85,67,39,Unsafe
Kerala,Kozhikode,Reservoir,7.62,5.57,4.98,15.65,635,364,1.67,13.55,1.0,19.9,137,127,22,31,Unsafe
Delhi,New Delhi,Groundwater,7.16,4.63,6.86,28.59,227,249,2.0,38.26,1.77,33.8,322,147,220,29,Unsafe
Kerala,Thiruvananthapuram,Lake,8.14,7.96,1.17,32.88,150,696,2.82,5.72,1.06,23.8,193,177,103,67,Moderate
Gujarat,Vadodara,Lake,7.01,5.48,1.28,11.69,166,542,7.9,1.01,1.44,32.4,79,77,175,52,Poor
West Bengal,Siliguri,River,7.98,9.35,7.31,41.31,543,707,4.74,19.57,0.54,22.9,120,150,186,37,Unsafe
Telangana,Hyderabad,Groundwater,8.27,4.71,7.97,43.02,260,589,7.28,15.44,1.12,33.6,206,133,177,18,Unsafe
Kerala,Kozhikode,Lake,7.87,7.28,4.71,30.37,244,276,8.4,32.04,2.07,28.1,252,175,205,31,Unsafe
Tamil Nadu,Coimbatore,Groundwater,7.18,6.13,2.61,27.4,658,346,4.53,3.06,2.06,26.8,72,166,39,40,Poor
Telangana,Nizamabad,Lake,7.28,7.85,1.92,33.6,150,429,6.21,21.04,0.54,22.6,90,33,207,58,Poor
Karnataka,Mysuru,Lake,7.37,7.59,7.12,42.66,290,449,4.47,19.29,2.32,20.4,239,105,51,44,Poor
Kerala,Kochi,Groundwater,8.44,7.21,5.54,26.11,343,507,8.4,36.38,0.31,21.2,68,148,127,18,Unsafe
Telangana,Nizamabad,Lake,7.88,7.88,5.87,27.37,228,187,10.0,32.31,2.07,32.2,232,132,117,29,Unsafe
Kerala,Thiruvananthapuram,Groundwater,8.36,6.84,5.32,42.78,568,862,0.59,3.97,1.22,29.6,109,155,63,40,Poor
West Bengal,Siliguri,Reservoir,6.38,5.59,3.03,43.0,252,325,8.19,34.4,2.14,30.9,79,63,133,24,Unsafe
Kerala,Kozhikode,River,7.61,7.0,6.97,31.73,575,243,1.48,15.37,0.32,29.6,236,22,36,36,Unsafe
Maharashtra,Pune,Lake,6.42,6.06,5.4,43.03,395,254,9.55,1.6,1.41,24.4,223,144,70,30,Unsafe
Kerala,Kozhikode,Lake,6.37,9.13,4.54,15.61,335,629,1.93,7.37,2.01,29.8,343,160,188,61,Moderate
West Bengal,Siliguri,Lake,6.61,6.33,4.73,44.44,464,675,8.95,32.23,1.14,30.3,274,56,83,17,Unsafe
Uttar Pradesh,Kanpur,Groundwater,6.55,5.5,6.9,19.42,595,633,6.1,22.86,1.2,33.9,77,26,193,13,Unsafe
Telangana,Nizamabad,Lake,8.29,7.3,7.24,25.27,700,200,5.48,22.96,1.23,19.4,86,38,170,15,Unsafe
Gujarat,Surat,River,8.24,6.6,7.04,22.3,134,298,6.54,33.19,1.93,25.9,166,156,42,28,Unsafe
Telangana,Nizamabad,Lake,8.18,8.7,4.18,36.22,444,227,8.5,5.35,1.51,33.8,266,38,168,42,Poor
Telangana,Hyderabad,River,7.31,7.61,3.38,28.28,259,333,8.63,37.38,1.34,32.7,276,114,120,36,Unsafe
Uttar Pradesh,Lucknow,Groundwater,7.49,6.85,2.55,39.15,496,341,2.63,24.54,1.13,24.8,329,147,137,41,Poor
Delhi,New Delhi,River,8.06,9.31,4.47,43.68,200,547,2.86,38.98,0.9,33.1,299,20,85,50,Poor
Maharashtra,Mumbai,Lake,6.6,6.13,2.84,36.24,375,897,0.87,21.45,0.8,26.2,247,51,47,45,Poor
Uttar Pradesh,Varanasi,River,6.97,7.86,4.48,26.89,605,729,6.39,39.88,2.39,24.0,163,117,139,24,Unsafe
Telangana,Nizamabad,River,7.29,6.47,4.89,28.65,435,251,5.84,5.68,2.13,25.5,137,27,96,42,Poor
Kerala,Kochi,Lake,7.8,5.89,3.94,37.62,341,825,8.19,12.92,0.63,30.7,141,97,24,32,Unsafe
Delhi,New Delhi,Groundwater,8.06,5.32,3.41,10.91,228,662,5.82,24.85,2.27,32.4,69,135,68,32,Unsafe
Telangana,Hyderabad,Groundwater,6.81,8.22,1.92,35.76,191,590,2.24,17.56,1.04,32.8,244,98,153,65,Moderate
Delhi,New Delhi,River,8.21,4.58,1.13,12.39,215,421,6.38,34.75,2.43,32.8,119,79,65,26,Unsafe
Kerala,Kochi,Groundwater,7.1,5.11,3.91,13.8,82,387,9.12,9.73,2.42,19.3,290,120,192,43,Poor
Maharashtra,Nagpur,River,8.23,5.17,1.62,38.65,351,491,7.32,31.95,1.87,18.0,231,82,128,22,Unsafe
Delhi,New Delhi,River,8.42,7.06,7.94,26.6,233,637,2.64,9.62,1.24,29.3,129,168,185,42,Poor
Kerala,Kochi,Groundwater,7.97,7.28,5.75,20.75,579,629,3.88,12.37,1.49,26.1,124,51,41,34,Unsafe
Andhra Pradesh,Visakhapatnam,Lake,7.24,8.61,7.67,35.88,195,550,2.59,1.53,0.43,23.1,114,172,104,66,Moderate
Telangana,Nizamabad,River,7.01,5.13,4.0,41.39,691,234,5.47,2.27,0.57,25.0,319,93,214,28,Unsafe
Delhi,New Delhi,Reservoir,7.54,7.39,6.54,24.46,157,668,5.61,6.92,1.24,32.2,348,177,155,52,Poor
Kerala,Thiruvananthapuram,River,6.42,8.24,7.34,16.95,223,830,1.27,19.81,0.6,30.1,179,51,121,51,Poor
Delhi,New Delhi,Reservoir,7.41,8.34,7.86,30.65,407,862,5.43,12.99,0.29,23.2,140,176,186,43,Poor
Delhi,New Delhi,Reservoir,6.52,8.99,2.36,22.74,270,231,2.59,26.18,0.33,27.7,238,39,72,58,Poor
West Bengal,Kolkata,River,6.36,6.09,2.34,18.61,548,466,7.98,14.93,1.76,18.5,337,31,53,26,Unsafe
Andhra Pradesh,Vijayawada,Lake,7.02,6.86,1.29,31.8,591,352,3.98,31.32,2.04,27.6,331,84,22,35,Unsafe
Kerala,Kochi,River,8.6,8.27,6.87,22.6,466,382,4.54,29.41,0.95,27.3,63,100,158,26,Unsafe
Delhi,New Delhi,Reservoir,8.05,8.27,2.81,20.09,241,563,6.31,8.87,1.38,29.2,199,40,161,54,Poor
West Bengal,Siliguri,Groundwater,8.24,8.62,2.3,19.86,140,460,0.94,12.19,0.99,29.1,301,108,145,69,Moderate
Andhra Pradesh,Vijayawada,Groundwater,6.97,8.03,2.64,38.04,490,194,4.36,12.1,0.13,23.2,126,123,167,51,Poor
Delhi,New Delhi,Reservoir,6.63,8.48,7.05,29.44,516,537,7.97,12.15,0.69,33.0,317,85,193,33,Unsafe
Karnataka,Mysuru,Groundwater,8.09,8.43,2.95,26.67,273,359,9.63,21.38,1.32,31.3,261,25,24,40,Poor
Kerala,Kozhikode,Reservoir,6.34,5.82,2.67,30.07,443,459,3.96,20.28,2.0,25.6,96,47,220,33,Unsafe
Karnataka,Mangaluru,River,7.51,8.37,2.36,37.97,263,793,2.85,10.37,1.21,27.7,116,180,154,65,Moderate
Kerala,Thiruvananthapuram,Lake,8.49,8.42,3.08,15.82,200,238,4.68,22.96,0.14,32.2,265,47,49,49,Poor
Gujarat,Surat,River,7.32,4.86,4.63,28.97,148,187,1.92,21.6,1.8,23.1,183,41,118,46,Poor
Delhi,New Delhi,Groundwater,8.49,7.14,6.32,19.78,138,829,6.15,1.37,0.48,25.5,276,166,120,46,Poor
Karnataka,Mangaluru,Lake,7.77,9.12,3.6,23.58,246,467,2.85,9.44,0.55,24.3,264,124,147,66,Moderate
Gujarat,Vadodara,River,8.16,5.83,5.74,18.18,160,646,0.79,26.14,0.36,28.8,121,45,169,41,Poor
West Bengal,Kolkata,Reservoir,6.87,7.21,7.21,23.07,683,887,7.26,34.93,0.6,31.4,208,122,143,12,Unsafe
Uttar Pradesh,Kanpur,Reservoir,7.0,6.5,6.26,11.02,185,535,4.57,21.99,0.89,24.3,276,173,158,43,Poor
Telangana,Warangal,River,7.45,6.42,2.32,16.84,168,574,2.88,8.88,2.18,25.2,127,106,146,61,Moderate
Kerala,Kochi,Lake,6.98,7.68,7.37,31.45,261,820,7.7,4.52,1.7,22.7,306,25,45,46,Poor
West Bengal,Kolkata,River,7.22,6.36,1.66,39.89,417,800,8.22,33.46,1.21,34.9,228,25,68,30,Unsafe
Maharashtra,Nagpur,Lake,7.88,7.2,4.38,16.84,594,592,1.63,23.87,0.49,25.7,323,36,163,35,Unsafe
Delhi,New Delhi,River,7.02,7.24,3.0,39.24,329,259,8.28,30.04,0.34,23.6,79,83,47,36,Unsafe
Karnataka,Bengaluru,Lake,7.45,7.45,3.69,40.56,305,703,8.36,17.75,1.49,28.6,170,61,26,42,Poor
Karnataka,Mangaluru,Lake,8.02,5.66,6.85,44.15,621,757,9.7,7.17,0.94,24.6,119,91,69,12,Unsafe
Maharashtra,Pune,Reservoir,6.79,6.26,6.31,27.69,530,305,3.59,30.31,0.73,19.9,85,43,115,24,Unsafe
Uttar Pradesh,Varanasi,Reservoir,6.7,5.83,4.29,33.61,686,897,3.26,31.33,1.73,23.4,311,49,133,19,Unsafe
Uttar Pradesh,Varanasi,Lake,6.92,5.55,6.25,37.02,122,213,7.43,39.4,0.38,25.6,203,67,80,26,Unsafe
Gujarat,Surat,Groundwater,7.5,5.08,1.47,16.65,346,226,3.95,14.55,0.82,24.1,244,160,214,43,Poor
West Bengal,Siliguri,Groundwater,7.27,8.33,3.13,42.06,492,348,6.68,9.37,0.48,33.0,151,88,55,49,Poor
Karnataka,Mysuru,River,7.16,6.39,8.0,29.6,315,511,2.38,17.93,1.56,30.9,245,79,152,41,Poor
Telangana,Hyderabad,Groundwater,7.01,8.7,6.93,36.79,641,469,8.21,12.43,1.33,22.3,230,29,145,32,Unsafe
Karnataka,Mysuru,River,8.36,8.82,4.51,31.27,225,524,5.48,36.3,0.71,33.9,150,178,132,40,Poor
West Bengal,Kolkata,Reservoir,7.48,8.97,1.02,31.47,681,439,8.95,15.22,0.88,18.1,175,144,109,40,Poor
Uttar Pradesh,Lucknow,Groundwater,6.99,5.44,7.78,25.82,450,630,5.62,29.11,0.58,20.0,236,100,109,18,Unsafe
Kerala,Kochi,Groundwater,7.49,6.23,5.39,33.89,683,790,8.65,10.49,2.11,18.7,66,106,145,20,Unsafe
Tamil Nadu,Coimbatore,River,8.38,5.04,3.88,36.1,612,606,9.97,39.18,2.05,23.6,94,44,51,0,Unsafe
Telangana,Nizamabad,River,7.35,8.81,4.04,31.16,349,841,9.65,11.59,0.89,24.9,214,46,202,48,Poor
Andhra Pradesh,Vijayawada,Lake,6.89,5.6,3.16,11.31,103,811,4.06,8.65,0.74,21.5,172,134,66,55,Poor
Delhi,New Delhi,Groundwater,7.15,6.47,5.27,14.14,371,374,9.06,29.01,1.53,30.0,255,51,107,26,Unsafe
Andhra Pradesh,Guntur,Groundwater,7.1,6.5,7.87,19.08,424,415,1.68,16.23,2.38,31.5,118,99,30,40,Poor
Maharashtra,Pune,Lake,6.54,5.23,4.91,43.63,179,192,1.84,33.29,0.14,18.6,262,158,93,36,Unsafe
Andhra Pradesh,Visakhapatnam,River,7.88,6.66,2.57,43.0,595,237,5.59,13.28,2.48,22.1,135,147,114,33,Unsafe
Maharashtra,Nagpur,Lake,8.12,5.7,3.73,16.36,557,711,6.16,14.13,1.27,21.2,63,104,81,24,Unsafe
Maharashtra,Mumbai,Groundwater,8.16,8.95,3.98,36.84,275,348,1.52,9.62,0.44,29.9,305,52,99,62,Moderate
Maharashtra,Nagpur,River,8.46,7.09,7.89,20.24,603,737,4.85,19.98,2.42,29.4,324,117,63,18,Unsafe
Uttar Pradesh,Lucknow,Reservoir,6.54,4.53,1.29,17.53,536,238,6.74,4.73,2.22,18.4,256,134,209,30,Unsafe
Telangana,Warangal,Reservoir,8.33,8.15,2.07,20.87,327,673,2.66,25.69,1.14,25.4,134,48,166,48,Poor
Karnataka,Mysuru,River,6.56,6.29,6.74,12.13,277,492,4.4,3.78,1.29,34.3,92,150,106,43,Poor
Delhi,New Delhi,Groundwater,8.21,4.57,2.96,35.15,243,425,4.95,28.81,1.91,18.8,166,160,59,27,Unsafe
Delhi,New Delhi,Lake,8.44,5.88,5.5,43.01,522,663,3.38,36.07,0.68,32.6,277,140,66,15,Unsafe
Uttar Pradesh,Lucknow,Lake,6.36,6.76,6.5,18.21,636,639,9.29,32.81,1.72,29.5,343,73,216,6,Unsafe
